value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.0,0.5,0.3,0.2,132.738139324603,3.795500758930837,7.5959516590123854,0.28890474986233905,0.4372109569548204,1.531458500776727,2811,6686906966.230149
0.3,0.4,0.05,0.25,120.16768109217904,3.646300934967056,7.585431810784364,0.30822513850221983,0.4424673784104389,1.5046276231312503,2529,6058384054.608952
0.35,0.25,0.2,0.2,111.37805747440002,3.5356026227368567,7.58298461535428,0.3012616199680907,0.4475374732334047,1.390094814713291,2335,5618902873.720001
0.2,0.35,0.25,0.2,122.2264808825383,3.6714353470523298,7.5599435745198456,0.271192922535026,0.4444886589733386,1.412785996352057,2513,6161324044.126915
0.15,0.3,0.3,0.25,124.76717694106004,3.702062416623339,7.553495070135388,0.285193578965626,0.443593875906527,1.3658547265828538,2482,6288358847.053002
0.3,0.35,0.1,0.25,117.26024029799407,3.6103067032699503,7.552167092612247,0.3203366136435832,0.44373503591380686,1.4092958224052898,2506,5913012014.899704
0.2,0.25,0.35,0.2,112.85345618419124,3.5545854327103727,7.551978233070228,0.24192658088253347,0.44285714285714284,1.3959761937471082,2380,5692672809.209562
0.15,0.2,0.35,0.3,118.05082384264827,3.620153168979778,7.551107028848012,0.3514871681517642,0.45127561689669593,1.4105424826830808,2391,5952541192.132414
0.4,0.2,0.15,0.25,120.37540834751759,3.6488500352978956,7.534433480829056,0.42567172493866395,0.44934714092751016,1.3616634601798907,2221,6068770417.375879
0.15,0.35,0.3,0.2,128.20984495166286,3.742898469603693,7.504661593366169,0.34458934317404344,0.4375497215592681,1.364582692646125,2514,6460492247.583143
0.15,0.55,-0.0,0.3,120.66556718043537,3.6524057251818354,7.504130479747631,0.2650247565310448,0.4312829525483304,1.492006827424625,2845,6083278359.021769
0.0,0.55,0.3,0.15,124.29045167456155,3.6963479535748114,7.471974929166996,0.30499732668104795,0.4373219373219373,1.5544085945772335,2808,6264522583.728078
0.1,0.55,0.05,0.3,121.49333582568403,3.6625178635902724,7.460420078881311,0.2650247565310448,0.43145441892832287,1.4639678717519116,2874,6124666791.284202
0.25,0.4,0.05,0.3,111.10792682262282,3.5321087400447535,7.4449287529124755,0.36712927154183195,0.43990665110851807,1.4145608732655068,2571,5605396341.131141
0.1,0.25,0.35,0.3,121.4913985629332,3.662494252028293,7.438852795624826,0.3476134792916326,0.44792079207920793,1.39775466762673,2525,6124569928.14666
0.25,0.2,0.3,0.25,116.15615599365928,3.5964805202584014,7.415972351447762,0.35509057095201385,0.44624835454146555,1.3369628426356088,2279,5857807799.682964
0.1,0.45,0.2,0.25,121.53028038030774,3.6629680991309206,7.400681303666494,0.2712707004823021,0.4372158097236796,1.35107386567692,2859,6126514019.015388
0.0,0.5,0.2,0.3,110.79070166711037,3.5279984204697996,7.397715328721637,0.25536179737854975,0.43453843453843455,1.421063891168952,2849,5589535083.355518
0.0,0.5,0.25,0.25,116.35188134038759,3.5989379818435916,7.373451016955539,0.24709808667269628,0.4346140289037716,1.4152680398011344,2837,5867594067.01938
0.2,0.45,0.05,0.3,110.951279394101,3.530080032457059,7.356978617236233,0.2724918966841497,0.43270622286541244,1.4186379968257514,2764,5597563969.7050495
0.2,0.2,0.35,0.25,114.14188047817102,3.5710262791915985,7.334920390797277,0.38189623609974993,0.4428509343763581,1.328497092144967,2301,5757094023.908551
0.15,0.45,0.2,0.2,122.63348436384285,3.6763703031842807,7.328148091653418,0.29586224613128576,0.43447792571829014,1.479902491744884,2854,6181674218.1921425
0.2,0.35,0.15,0.3,109.71189983732391,3.513960655044116,7.313047171871288,0.31373228616781285,0.4434918160561185,1.389419939715571,2566,5535594991.866196
0.3,0.5,0.05,0.15,115.90815530227573,3.5933626951671247,7.303102861608749,0.3839961742946462,0.4410058027079304,1.5165958620776863,2585,5845407765.113787
0.05,0.45,0.35,0.15,120.78820723522809,3.65390685862618,7.293808486141869,0.3180253396723492,0.43123209169054444,1.5545627212473663,2792,6089410361.761404
0.15,0.45,0.1,0.3,107.1219692171731,3.4798757113562875,7.286693133796451,0.25880071272405464,0.4356964731029569,1.3910062954347346,2807,5406098460.858655
0.25,0.3,0.2,0.25,106.30468869929157,3.469004746605524,7.275509862450618,0.3124877067279741,0.4459404324765402,1.3910906457705456,2451,5365234434.964579
0.35,0.2,0.2,0.25,109.54029242143261,3.511719074881972,7.265917624743591,0.4056551383099613,0.44727435210008937,1.3401800566794604,2238,5527014621.0716305
0.25,0.45,0.0,0.3,109.74355114025612,3.5143738344528384,7.258845567762122,0.2600711193881634,0.4439910979228487,1.408387017042123,2696,5537177557.012806
0.4,0.35,0.0,0.25,104.15499969449736,3.4401395713343046,7.251205820657114,0.24678466977674374,0.43731532292106373,1.411922546708567,2369,5257749984.724868
0.15,0.5,0.05,0.3,111.91631637458698,3.542547503338983,7.248160333807158,0.25536179737854975,0.42984330484330485,1.4208445886617442,2808,5645815818.729349
0.3,0.4,-0.0,0.3,104.8730292429376,3.449825238223169,7.245626109726839,0.36479181719627335,0.44360302909525706,1.4083825512511123,2509,5293651462.14688
