value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.25,0.35,0.1,0.3,118.13834085388989,3.6212404298791707,7.632322747004365,0.31894461622069914,0.4549459351221466,1.4439432379888717,2497,5956917042.694494
0.1,0.3,0.3,0.3,90.12170124281496,3.241088943869987,7.624162842147424,0.2989391893754219,0.4671957671957672,1.5581599846976952,1890,4556085062.140748
0.15,0.55,0.15,0.15,101.67214355530182,3.4062971043200108,7.621417058108616,0.2746421228596308,0.4426543920214806,1.405364740372571,2607,5133607177.765091
0.0,0.4,0.4,0.2,78.16934907183204,3.054378100503059,7.60916572467816,0.21737210280049699,0.47332185886402756,1.69317418178783,1743,3958467453.5916023
0.35,0.35,0.15,0.15,100.34953635689628,3.388041802010303,7.593434896951769,0.3377685309071603,0.47592778335005015,1.5891969859628303,1994,5067476817.844814
0.2,0.45,0.2,0.15,98.26822080257736,3.358983599945014,7.590817007490627,0.26126856767568235,0.4665725047080979,1.4923285287791788,2124,4963411040.128868
0.0,0.3,0.4,0.3,76.75092359101541,3.0309755648328016,7.552388740852419,0.21238094398500226,0.4702517162471396,1.5004252364251716,1748,3887546179.5507703
0.2,0.55,0.05,0.2,110.13310852816721,3.519452595465972,7.549250301377397,0.24042588906046045,0.4371822803195352,1.4027488391546008,2754,5556655426.4083605
0.15,0.55,0.1,0.2,106.72043870182766,3.4745418051174815,7.527562934236901,0.21132346621296827,0.43403028118240805,1.344636135175843,2774,5386021935.091383
0.4,0.35,0.0,0.25,127.00638649172991,3.7287083829058716,7.509389620768924,0.3482519913685266,0.4528301886792453,1.4897125097982504,2438,6400319324.586495
0.25,0.4,0.2,0.15,87.51135712146838,3.2018013085522874,7.474085154451459,0.22078845595691135,0.48091603053435117,1.6448492423847272,1965,4425567856.073419
0.1,0.45,0.25,0.2,95.03006433753033,3.3129392511271583,7.472005730442645,0.24486154099683569,0.46495956873315364,1.4588762185694082,2226,4801503216.876516
0.35,0.35,0.1,0.2,95.6233111667858,3.321452936850882,7.471152267799173,0.39356368036856587,0.4568593615185505,1.5387854523716935,2318,4831165558.33929
0.05,0.35,0.3,0.3,88.6312331288409,3.2187514654427414,7.444647808321628,0.24492558495949573,0.4549256505576208,1.5670386985010079,2152,4481561656.442045
0.4,0.3,0.0,0.3,126.3022843647265,3.720364156657233,7.414841617283558,0.3530275236383571,0.45161290322580644,1.4534228918944063,2418,6365114218.236325
0.4,0.45,0.1,0.05,73.20182005754461,2.971119175958869,7.364124710645377,0.3436069823570483,0.4649833253930443,1.5306706891730708,2099,3710091002.87723
0.05,0.5,0.15,0.3,98.74375299891668,3.365658963345682,7.344625904198687,0.26768093238707646,0.43775100401606426,1.324480983893887,2739,4987187649.945834
0.0,0.5,0.4,0.1,70.70059266939137,2.927756112675048,7.338187065155748,0.15848740026374467,0.467595396729255,1.7262164407388432,1651,3585029633.4695683
0.25,0.3,0.2,0.25,92.21745920163225,3.272081503826917,7.323897370094532,0.2558931237484558,0.4673489278752437,1.6166753575936705,2052,4660872960.081613
0.3,0.45,0.15,0.1,80.29162246054493,3.088866889809161,7.320184903074007,0.2953711891568688,0.46536494653649463,1.5094984599863022,2151,4064581123.0272465
0.2,0.45,0.15,0.2,103.73238394220796,3.434417775172765,7.318467910617628,0.3452928472027518,0.45713141025641024,1.4493942352870024,2496,5236619197.110398
0.15,0.5,0.1,0.25,100.89179187319851,3.3955457639528968,7.311629704443024,0.2259846711021911,0.43524261218533383,1.3151785426831981,2741,5094589593.659925
0.35,0.45,0.1,0.1,93.40187468926092,3.289387865734237,7.2977554099940845,0.2237330850841374,0.45864010394110005,1.4783208225222282,2309,4720093734.463046
0.4,0.4,0.1,0.1,81.66709613829283,3.110893816131708,7.276504521257517,0.3277219596836709,0.4650413983440662,1.5581911126862855,2174,4133354806.914642
0.1,0.5,0.25,0.15,87.98983875670434,3.2090612192306507,7.2594630257357915,0.28647890022810013,0.46783896344285053,1.4953969394783073,2161,4449491937.835217
0.3,0.5,0.15,0.05,73.02595070644756,2.9681029454533614,7.232173834526189,0.26141307742786174,0.4609412906356138,1.582075723193094,2061,3701297535.3223777
0.35,0.5,0.05,0.1,111.24859573111921,3.5339288716611303,7.231926522326852,0.29898692977267294,0.45094872830036337,1.4256656232341307,2477,5612429786.555961
0.05,0.4,0.3,0.25,81.66559966147591,3.110869987338373,7.210909616792963,0.18530892048673292,0.45703493862134087,1.5708306261140448,2118,4133279983.0737953
0.3,0.5,0.1,0.1,99.63252616673306,3.378077489329831,7.203597416373343,0.29426111421903606,0.4574780058651026,1.4622038625758342,2387,5031626308.336653
0.05,0.5,0.3,0.15,80.15599567646294,3.0866812686008025,7.197416463637,0.24655212954837982,0.46108949416342415,1.5309279006407592,2056,4057799783.823147
0.2,0.35,0.2,0.25,80.81314131744325,3.097248131212406,7.194855006776404,0.2996665584585655,0.4732304900181488,1.4299737817073124,2204,4090657065.8721623
0.15,0.25,0.3,0.3,60.35286875028946,2.7365485816635458,7.191844459689314,0.21588065519866304,0.47671568627450983,1.5687173753920833,1632,3067643437.514473
0.4,0.45,-0.0,0.15,108.61355584686858,3.4995727417978975,7.180326813193233,0.45043938247201054,0.4467312348668281,1.4443340539511809,2478,5480677792.343429
0.1,0.5,0.2,0.2,82.88098224428093,3.1301270378360133,7.162876692996786,0.21064424800718284,0.45716573258606885,1.4188798054778302,2498,4194049112.2140465
0.15,0.45,0.1,0.3,90.25350373964778,3.2430522662133585,7.156100088098985,0.2533324562148873,0.4371804236669102,1.343498635300763,2738,4562675186.982389
0.35,0.35,0.0,0.3,110.87363092992085,3.529073708283918,7.155569249125414,0.29181496696081083,0.44661776691116545,1.4286767888072507,2454,5593681546.496042
0.2,0.25,0.25,0.3,70.16429690044602,2.9183250789479884,7.09343177206423,0.2582030457298376,0.4787052810902896,1.496914851184663,1761,3558214845.022301
0.4,0.3,0.1,0.2,77.68051507566234,3.0463452803098123,7.057789739487836,0.3356601323862073,0.4583889630618603,1.5088170358898865,2247,3934025753.783117
0.3,0.4,0.15,0.15,76.14853753797836,3.0209489929513706,7.038538268516303,0.23402784483328035,0.4652233993551359,1.5460396974872068,2171,3857426876.8989177
0.4,0.4,-0.0,0.2,108.52130814750743,3.4983598763244768,7.029354648650411,0.42452665226829167,0.4478278522127487,1.463609544572204,2463,5476065407.375371
0.35,0.4,0.0,0.25,105.78570224682629,3.462072256605685,7.020646175342339,0.2794104800971643,0.44859437751004017,1.474326706287937,2490,5339285112.341314
