value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.175,0.35,0.175,0.3,215.61552852708192,4.596229571468476,9.750184816218155,0.2613391432900422,0.46609825416159156,1.4583194196851004,2463,10830776426.354095
0.225,0.45,0.05,0.275,221.9113110511263,4.647804536174203,9.739942682386982,0.24269898897119443,0.444362292051756,1.4981762261425593,2705,11145565552.556314
0.4,0.2,0.15,0.25,148.20368558865962,3.966510909008698,9.731869049436098,0.16958177305713296,0.5054869684499315,1.6946983911406137,1458,7460184279.432981
0.2,0.475,0.05,0.275,216.3256531551255,4.602097475612819,9.720187645259214,0.2567858016473914,0.44204753199268737,1.4999021415491762,2735,10866282657.756275
0.25,0.425,0.125,0.2,226.64918390346514,4.685967750774584,9.697842991164984,0.2328952714727068,0.463265306122449,1.6448860621048174,2450,11382459195.173258
0.35,0.275,0.15,0.225,182.0324003402548,4.302356603745464,9.693999917464646,0.2517695748762111,0.47619047619047616,1.6721022259294895,2058,9151620017.012741
0.275,0.45,0.05,0.225,250.28867638541516,4.868718762718513,9.679100125977856,0.227907378941808,0.4485910129474486,1.5063938085842261,2626,12564433819.270758
0.325,0.325,0.05,0.3,247.7125065937561,4.8493861704486845,9.672481296500786,0.3666072261215632,0.45417515274949083,1.5274606635630739,2455,12435625329.687805
0.225,0.275,0.25,0.25,146.01557658988776,3.943071648051081,9.665242353711387,0.24972806711001386,0.49744572158365263,1.6710588826490564,1566,7350778829.494389
0.325,0.375,0.075,0.225,242.74156298521302,4.811694018371819,9.662537757844634,0.3075978649371697,0.45811197384552516,1.579203763972951,2447,12187078149.26065
0.25,0.425,0.075,0.25,223.36550110652408,4.659576095071237,9.652474780720167,0.23582180639077385,0.44992354740061163,1.5777751544280514,2616,11218275055.326204
0.275,0.325,0.2,0.2,184.6964163899942,4.326947092644437,9.651829328121385,0.35615058577907566,0.5002721829069134,1.7446849027560507,1837,9284820819.49971
0.225,0.325,0.25,0.2,154.70529036120624,4.034806466894568,9.627870106907162,0.14344014840384883,0.49573770491803276,1.6797885237749355,1525,7785264518.060311
0.3,0.425,0.1,0.175,207.98803113962,4.532361391750332,9.613384807667742,0.2187403315113779,0.46163417669017004,1.5920349800150382,2411,10449401556.981
0.35,0.25,0.15,0.25,163.96209537801204,4.128776040037895,9.606205123801859,0.2400564418723645,0.4840137727496311,1.659794873522682,2033,8248104768.900602
0.325,0.325,0.125,0.225,189.80187227981645,4.3734114089314735,9.604214341046173,0.37372561912991936,0.45930488341399034,1.6171838505182152,2273,9540093613.990822
0.35,0.225,0.175,0.25,150.47078708953953,3.990551149914584,9.603652653144296,0.17912267110972224,0.5115979381443299,1.7262136711339617,1552,7573539354.476976
0.25,0.35,0.225,0.175,144.48745600208204,3.926561247581801,9.600101785013633,0.14543646554614167,0.49844623990055936,1.641971731339563,1609,7274372800.104102
