tp,sl,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value,trading_cost
0.14,0.14,41.82194698118261,2.430761601222579,6.84321547337663,0.20322757566316585,0.5343325200418264,1.561089182934381,2869,2141097349.0591307,341927949.6408758
0.16,0.14,42.35644583745799,2.4447541865346567,6.671866671669133,0.2230761638448566,0.5249734325185972,1.5760379145005998,2823,2167822291.8728995,326162447.80710036
0.2,0.11,44.38939743224051,2.4969398982665267,6.629323146760464,0.27660699580155557,0.5128205128205128,1.677504373298628,2769,2269469871.6120253,296362274.76797515
0.18,0.14,43.02448236974598,2.4620806329640597,6.61929729827697,0.2557178562398258,0.5185050798258345,1.593540257028607,2756,2201224118.487299,320660693.67270005
0.19,0.11,43.59743454559174,2.47680075523366,6.596425487317988,0.26532078583696667,0.5145526410348544,1.5724531745080106,2783,2229871727.279587,337493557.0504123
0.25,0.09,41.950759668429,2.4341444589750894,6.468258872989381,0.25284402045111387,0.5,1.6879321528494846,2726,2147537983.42145,277533321.4185505
0.2,0.1,40.3452093889375,2.391482007165268,6.3675338118245675,0.2699435094588488,0.5069419722321111,1.6125899740104503,2809,2067260469.4468749,296198435.05312455
0.2,0.09,40.28031380726051,2.389734383526372,6.354475544762165,0.2672304997587765,0.5022960084775697,1.5859845774690624,2831,2064015690.3630257,308199431.216975
0.1,0.07,30.628318349927568,2.1060788098867516,6.3451818566194245,0.2342045101670642,0.5329994107248085,1.457235121740908,3394,1581415917.4963784,350088927.40362555
0.1,0.08,30.410117955993112,2.099031222752007,6.302129888393826,0.23368861406724364,0.5404754739693048,1.4363980830358074,3323,1570505897.7996557,352775414.4803494
0.2,0.12,38.894321124625996,2.351960929506678,6.236953312633172,0.2776834254202292,0.512,1.5843448508241622,2750,1994716056.2312999,292226756.72870016
0.22,0.14,38.615799577587005,2.3442641802750845,6.215775923444414,0.2634250804134654,0.5147884687383003,1.707715201753324,2671,1980789978.8793502,246141829.64064974
0.25,0.12,38.2259524349695,2.333429725131891,6.209264551957002,0.2547309514191238,0.5094197437829691,1.6478084188042768,2654,1961297621.7484748,266103319.471525
0.22,0.09,37.29460622118774,2.3072500192324763,6.158665907156376,0.25767568071038577,0.5014347202295553,1.6230530037487803,2788,1914730311.0593872,269504281.430612
0.19,0.14,37.234623308179984,2.3055493300187986,6.140952990758356,0.26508128209100756,0.5183553597650514,1.5359592276036331,2724,1911731165.4089992,305844453.391
0.19,0.09,36.27998634732724,2.2782379891321267,6.114590657897925,0.26138364032361483,0.5031446540880503,1.499694896142714,2862,1863999317.3663619,327509643.5436378
0.22,0.1,36.45132343247549,2.2831741135224286,6.095549177355113,0.2551684950669297,0.5056179775280899,1.632292299913014,2759,1872566171.6237745,261644157.35622528
0.22,0.12,35.27948198530798,2.2491053331175554,6.00476478440225,0.25679837512931225,0.5114814814814815,1.6187836739611443,2700,1813974099.2653992,253265464.41460013
0.25,0.1,35.33432807998998,2.2507162284116116,5.994313157676363,0.25314845736669733,0.5050129966580023,1.6198377113589455,2693,1816716403.999499,264404362.4005001
0.25,0.14,34.77512857279326,2.2342145927588435,5.949570032527998,0.2571173887574732,0.5130268199233716,1.65448393410342,2610,1788756428.6396627,248801977.63033748
0.2,0.14,35.126581991036,2.244605821337259,5.9388706489894565,0.27273433085806725,0.5153646797482414,1.5724947368610738,2701,1806329099.5518,275940935.0082
0.1,0.12,26.729932166356072,1.9748671592534017,5.880065346665448,0.2477925553448451,0.5562300319488818,1.4423033392659226,3130,1386496608.3178036,305104071.44219947
0.1,0.14,26.340146278322567,1.9610809044354913,5.802923863293757,0.253807175558764,0.5603364606923326,1.4337369626099363,3091,1367007313.9161284,296825609.18387413
0.1,0.09,25.32022084829133,1.9243712236632957,5.781010921430081,0.24100910011295065,0.5442572741194487,1.4095263177133963,3265,1316011042.4145665,311910257.93543744
0.1,0.1,25.65472975215508,1.9365147512976963,5.774561933873639,0.24376832083201702,0.5496111975116641,1.4210388118933395,3215,1332736487.607754,309044994.19224983
0.25,0.11,32.82829732170149,2.175375178331933,5.772686861850823,0.25396100154423995,0.5080614923134609,1.5873227418237879,2667,1691414866.0850747,259674931.85492486
0.22,0.11,32.31744623415975,2.15956033727586,5.756051414713638,0.25601704819528986,0.5105127259313906,1.6044774626116203,2711,1665872311.7079875,246052433.9020124
0.1,0.11,23.64722016905932,1.8620278586268872,5.529315792864659,0.24633144040349098,0.5526481715006305,1.3894060320648556,3172,1232361008.452966,303925037.17703813
