value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.0,0.5,0.3,0.2,152.67224112015185,4.0136623070217,9.40183958681898,0.20135967219457238,0.46033129904097647,1.608774807886855,2294,7683612056.007592
0.25,0.5,0.05,0.2,204.4496541790344,4.502194192970005,9.398699616690577,0.2255884925264367,0.4403462551750094,1.488146628077457,2657,10272482708.951721
0.0,0.45,0.4,0.15,134.19686306274815,3.8121876049680825,9.35814695339017,0.17539857692450753,0.47543859649122805,1.785542503587524,1710,6759843153.137407
0.0,0.45,0.35,0.2,127.42623420440529,3.7336691055601214,9.213028713948516,0.15836183900896944,0.4626262626262626,1.7107933075912483,1980,6421311710.220264
0.4,0.3,0.05,0.25,216.20745722609672,4.601121703740487,9.179852880934495,0.45273927833904787,0.4569397993311037,1.5316652321265118,2392,10860372861.304836
0.05,0.5,0.2,0.25,149.87199084485965,3.9842254444795584,9.002469185447584,0.156033091334321,0.45051194539249145,1.4087571114875421,2637,7543599542.242983
0.2,0.4,0.15,0.25,172.4771068624412,4.212100014962501,8.989227107032601,0.24935809012482874,0.4594594594594595,1.4819040300962012,2479,8673855343.122059
0.0,0.4,0.35,0.25,115.58769504137109,3.589327254288123,8.986207928379251,0.16614010383295758,0.46593186372745493,1.6385308305036932,1996,5829384752.068555
0.3,0.35,0.1,0.25,167.88933960812423,4.16756080760481,8.89053459814647,0.3811059189411954,0.4573547589616811,1.6117518965763233,2427,8444466980.406212
0.3,0.3,0.15,0.25,140.0364070794396,3.877788465563305,8.820846133233124,0.31727945970620614,0.47192028985507245,1.5288268780698053,2208,7051820353.971981
0.2,0.5,0.1,0.2,151.470774785616,4.001077263563,8.695647452852606,0.2942409727259305,0.4417065097462302,1.4019953376443164,2719,7623538739.280799
0.2,0.45,0.1,0.25,149.821607659363,3.9836924167657806,8.677397630483219,0.22849027650743034,0.44035346097201766,1.4221985501849446,2716,7541080382.968149
0.05,0.45,0.25,0.25,128.73671886207717,3.7490826158560004,8.614795838403529,0.20191313869723046,0.4533169533169533,1.5511209581756171,2442,6486835943.103859
0.15,0.5,0.15,0.2,143.47686685500275,3.9155775911947392,8.533713752874887,0.2003598498040754,0.44822429906542055,1.3709549358481266,2675,7223843342.750138
0.3,0.35,0.2,0.15,111.54866340752407,3.5378063073856136,8.501687865863662,0.2069973191033414,0.4893203883495146,1.5791173208801197,1545,5627433170.376204
0.2,0.35,0.25,0.2,107.82092366588917,3.489128546694382,8.424864059428161,0.16298094480769387,0.4920728126834997,1.5204721928437384,1703,5441046183.294458
0.4,0.25,0.1,0.25,113.84862119672785,3.5672952012849493,8.344925665805114,0.32308505583583036,0.46860782529572337,1.574955735699984,2198,5742431059.836392
0.0,0.5,0.25,0.25,111.65463219895297,3.539173943206695,8.272688277038727,0.1749215441668217,0.4507097791798107,1.5025680779042199,2536,5632731609.947648
0.4,0.35,0.1,0.15,109.72793206575369,3.5141699514600333,8.222727563617383,0.3439457851313732,0.46744499326448136,1.6574109864464681,2227,5536396603.287684
0.35,0.35,0.05,0.25,141.3612672782141,3.8924138056669983,8.20067928833546,0.4501228899964321,0.45454545454545453,1.4214356639261476,2453,7118063363.910704
0.35,0.4,0.05,0.2,143.9892275661457,3.921152722477199,8.18254110358029,0.30514523415203115,0.45454545454545453,1.417675635136764,2464,7249461378.307285
0.15,0.45,0.15,0.25,124.45951072332443,3.698376137993658,8.14524438531464,0.21288423203692014,0.44871316672883255,1.3818205215466757,2681,6272975536.166222
0.2,0.5,0.2,0.1,122.15579904243062,3.670577194215171,8.123976973327947,0.26317623967155584,0.47584887613582016,1.5797520654145796,2091,6157789952.121531
0.3,0.45,0.1,0.15,137.22333602819634,3.846421990975993,8.0601624874459,0.33757420236699465,0.4575645756457565,1.4990959552476704,2439,6911166801.409817
0.25,0.4,0.15,0.2,122.83268939076542,3.678781658390877,8.04416159579093,0.37384831732734275,0.459656652360515,1.5697497152691984,2330,6191634469.538271
0.15,0.3,0.3,0.25,80.84190557922311,3.097709338696566,8.040418796557306,0.1732502709869506,0.4905778894472362,1.5453214217953404,1592,4092095278.9611554
0.35,0.3,0.15,0.2,108.50691566878565,3.498170582529374,8.02592021317006,0.2847544760316919,0.4792079207920792,1.5670197660554075,2020,5475345783.439282
0.3,0.35,0.15,0.2,106.02472371394992,3.465267883606362,8.007792774408816,0.2763988477202008,0.46994033960532355,1.5435598849034935,2179,5351236185.697496
0.25,0.5,0.1,0.15,139.49077629155326,3.871738006151973,7.995704174138056,0.33006157683044707,0.4536779324055666,1.441751821291766,2515,7024538814.577663
0.05,0.35,0.35,0.25,91.80462977511385,3.266014229976709,7.9803097401833565,0.17140888137260407,0.4721311475409836,1.7485189591720767,1830,4640231488.7556925
0.0,0.5,0.35,0.15,81.487286754047,3.108028562368786,7.919919594935927,0.18318405261490125,0.45431078988125967,1.637567135618024,1937,4124364337.70235
0.25,0.4,0.1,0.25,139.70492175875123,3.8741145505627825,7.906197282989294,0.337840872478212,0.45256358498183286,1.5144015855181432,2477,7035246087.937562
0.1,0.45,0.2,0.25,103.04512798586374,3.425079404999855,7.836767880975019,0.20130951145907633,0.4624505928853755,1.4097541419197273,2530,5202256399.293187
0.0,0.35,0.4,0.25,84.77506182911245,3.1597630429972643,7.759912968281274,0.2308723084376516,0.4709639953542393,1.569963061420637,1722,4288753091.455622
0.3,0.4,0.1,0.2,121.54498324243966,3.6631472541576837,7.7456384439303845,0.28052486593800563,0.45300906842539157,1.4979031189043357,2426,6127249162.121983
0.2,0.3,0.25,0.25,91.47278198350317,3.2611238120418706,7.735743596030619,0.183863684384152,0.4923251847640705,1.5396853497715557,1759,4623639099.1751585
0.4,0.4,0.05,0.15,122.48031221322037,3.674514374105698,7.71432535770418,0.22693536767169759,0.45734498543487306,1.4722544142376164,2403,6174015610.661018
0.25,0.45,0.1,0.2,120.73978021103198,3.653314227105284,7.700433525332408,0.4070018541163337,0.4525518341307815,1.519912963542124,2508,6086989010.5515995
0.0,0.4,0.4,0.2,78.16934907183204,3.054378100503059,7.60916572467816,0.21737210280049699,0.47332185886402756,1.69317418178783,1743,3958467453.5916023
0.35,0.35,0.15,0.15,100.34953635689628,3.388041802010303,7.593434896951769,0.3377685309071603,0.47592778335005015,1.5891969859628303,1994,5067476817.844814
0.2,0.45,0.2,0.15,98.26822080257736,3.358983599945014,7.590817007490627,0.26126856767568235,0.4665725047080979,1.4923285287791788,2124,4963411040.128868
0.25,0.4,0.2,0.15,87.51135712146838,3.2018013085522874,7.474085154451459,0.22078845595691135,0.48091603053435117,1.6448492423847272,1965,4425567856.073419
0.1,0.45,0.25,0.2,95.03006433753033,3.3129392511271583,7.472005730442645,0.24486154099683569,0.46495956873315364,1.4588762185694082,2226,4801503216.876516
0.35,0.35,0.1,0.2,95.6233111667858,3.321452936850882,7.471152267799173,0.39356368036856587,0.4568593615185505,1.5387854523716935,2318,4831165558.33929
0.4,0.45,0.1,0.05,73.20182005754461,2.971119175958869,7.364124710645377,0.3436069823570483,0.4649833253930443,1.5306706891730708,2099,3710091002.87723
0.0,0.5,0.4,0.1,70.70059266939137,2.927756112675048,7.338187065155748,0.15848740026374467,0.467595396729255,1.7262164407388432,1651,3585029633.4695683
0.25,0.3,0.2,0.25,92.21745920163225,3.272081503826917,7.323897370094532,0.2558931237484558,0.4673489278752437,1.6166753575936705,2052,4660872960.081613
0.3,0.45,0.15,0.1,80.29162246054493,3.088866889809161,7.320184903074007,0.2953711891568688,0.46536494653649463,1.5094984599863022,2151,4064581123.0272465
0.2,0.45,0.15,0.2,103.73238394220796,3.434417775172765,7.318467910617628,0.3452928472027518,0.45713141025641024,1.4493942352870024,2496,5236619197.110398
0.15,0.5,0.1,0.25,100.89179187319851,3.3955457639528968,7.311629704443024,0.2259846711021911,0.43524261218533383,1.3151785426831981,2741,5094589593.659925
0.35,0.45,0.1,0.1,93.40187468926092,3.289387865734237,7.2977554099940845,0.2237330850841374,0.45864010394110005,1.4783208225222282,2309,4720093734.463046
0.4,0.4,0.1,0.1,81.66709613829283,3.110893816131708,7.276504521257517,0.3277219596836709,0.4650413983440662,1.5581911126862855,2174,4133354806.914642
0.1,0.5,0.25,0.15,87.98983875670434,3.2090612192306507,7.2594630257357915,0.28647890022810013,0.46783896344285053,1.4953969394783073,2161,4449491937.835217
