tp,sl,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value,trading_cost
0.14,0.12,17.872212095518854,1.6219799062310392,4.333499436458986,0.38179399077766607,0.5066202090592334,1.377528781279623,2870,943610604.7759427,210839042.0880544
0.22,0.11,17.91136962962174,1.6237637578803499,4.329498236747098,0.3787263143744615,0.4937037037037037,1.4450962277957085,2700,945568481.481087,180812385.92589188
0.12,0.1,17.634772964226734,1.6111095744984976,4.3246950121476795,0.36447032701857657,0.5117200396170353,1.3721025361589874,3029,931738648.2113367,216013373.7254463
0.12,0.12,17.63704094730707,1.6112138452171245,4.318021635388865,0.37513764578514835,0.5164574143196471,1.394091440427363,2947,931852047.3653536,205515311.77362096
0.19,0.11,17.841358027704207,1.6205725728887561,4.312137721466962,0.39016259662118385,0.4971014492753623,1.415760388871733,2760,942067901.3852103,189236995.81937516
0.17,0.14,17.985877626804395,1.6271511855272056,4.309096324149598,0.38873710854461313,0.5043668122270742,1.4233374692615681,2748,949293881.3402199,185458621.10550714
0.14,0.07,17.51146713883077,1.6054276979686222,4.307718586417698,0.37036565561149193,0.48549323017408125,1.3386148272698426,3102,925573356.9415386,233100186.56318587
0.2,0.12,17.73056222279734,1.6155060905669933,4.2943029797345496,0.3912352136153889,0.4976058931860037,1.4458155012192198,2715,936528111.139867,176579102.57822523
0.18,0.1,17.860942004849417,1.6214660277551922,4.288171773698596,0.38702030975924917,0.4924375659514597,1.397069031009225,2843,943047100.2424707,196650932.4547979
0.12,0.11,17.274140122177723,1.5944197959760755,4.282483948139729,0.3774666955798404,0.5140656396517079,1.3662784463548017,2986,913707006.1088862,213064689.77244407
0.2,0.09,17.244786720019263,1.59305164016138,4.253539800729063,0.3769072775132016,0.48626471637531216,1.4153171626191594,2803,912239336.0009631,185731039.50092885
0.17,0.09,17.35710348964753,1.5982787339828524,4.252726014339745,0.3721610976097324,0.4886206896551724,1.404429350187598,2900,917855174.4823763,189672789.63345343
0.18,0.09,17.164060445574986,1.589281363200692,4.2408522044507055,0.379408215923996,0.4853658536585366,1.396282685236303,2870,908203022.2787493,191139562.49255672
0.1,0.14,16.87252422317103,1.5755708228890488,4.222515387584613,0.3921580500074068,0.5318936877076412,1.3924254279996167,3010,893626211.1585515,201229071.96727562
0.1,0.07,16.234224518387474,1.5450190753123931,4.208312632118836,0.3568456308567882,0.5037684654808562,1.3180317879297094,3317,861711225.9193738,242477749.20373538
0.16,0.12,17.15286806786049,1.5887577411757814,4.2075642291276525,0.3754101782531324,0.5019469026548673,1.3869203131747052,2825,907643403.3930244,193427689.20258197
0.2,0.11,16.75329897999717,1.5699205304126669,4.1966377271566735,0.3930333161535176,0.49616087751371113,1.4197871654726786,2735,887664948.9998585,177068410.6106195
0.22,0.14,16.927263585576174,1.5781565360423708,4.191785098259714,0.38653936864090704,0.4994354535190064,1.4169499230557274,2657,896363179.2788087,175466951.46007314
0.16,0.14,16.71017620455257,1.5678705893775673,4.180504966493886,0.3774993976081537,0.5054308472121651,1.3978705321618328,2762,885508810.2276285,184801521.7762299
0.22,0.1,16.624819056639772,1.5638030294572567,4.1630576987607055,0.36659134090410883,0.49051787016776077,1.4046689016217186,2742,881240952.8319886,183657224.32569426
0.17,0.12,16.686074738363203,1.5667234090592985,4.1621234514301095,0.385663590681906,0.5001788908765653,1.382276839216784,2795,884303736.9181601,190541407.32602662
0.1,0.06,15.861427728214634,1.5268223352422425,4.154652959415833,0.350594666367646,0.4929370217775162,1.303518982095764,3398,843071386.4107317,251013957.88597766
0.16,0.1,16.294453309472456,1.5479340419567782,4.136532826614715,0.36820066771117516,0.4961832061068702,1.3778799570483833,2882,864722665.4736228,190534169.8248521
0.1,0.08,15.525013803726702,1.5101679968270982,4.112737778537127,0.3535496881848335,0.5105067985166872,1.313752433313425,3236,826250690.1863351,231754896.5314765
0.15,0.1,15.911395087078764,1.5292768984800733,4.09442220381943,0.3770965915785126,0.49811708319068815,1.3358267149754648,2921,845569754.3539382,207907725.58846003
0.19,0.09,15.669191158170607,1.5173332035007974,4.050357422637354,0.37362938096115783,0.48606701940035274,1.367923332450805,2835,833459557.9085304,188588014.21167725
0.18,0.14,15.04290086616805,1.4858988390376755,3.9774767676006375,0.39726412338407846,0.5003676470588235,1.3719644252334624,2720,802145043.3084025,180182154.65138477
0.2,0.14,14.878395420230337,1.4775057430603509,3.934062342584706,0.3893538199435474,0.5003750937734434,1.3932364458655406,2666,793919771.0115168,168891498.28221965
0.1,0.05,13.732017105042587,1.4173305414114314,3.8664024166008235,0.3531101093698245,0.47605473204104903,1.2839524099794224,3508,736600855.2521293,239986312.87533098
0.1,0.1,13.754756961142458,1.4185542437578578,3.826341912041214,0.37572153458145313,0.5196950444726811,1.2994730844140403,3148,737737848.057123,209895310.6849436
0.1,0.09,13.324965938760197,1.3952078803004322,3.810001919571938,0.3658829429387544,0.5141955835962145,1.2979042500760376,3170,716248296.9380099,207904233.44156942
0.1,0.12,13.503767224386966,1.4049768174816295,3.798657119786864,0.38293245397136105,0.5241988227599739,1.3014517143358968,3058,725188361.2193483,207063271.43488
0.1,0.11,12.829832713502345,1.3677211531201037,3.7010426895620543,0.3847929978672776,0.5227492739593417,1.2859710633330044,3099,691491635.6751173,206300987.62109357
